group,replicate,fastq_1,fastq_2,antibody,control
LEF1,1,fastq/ENCFF643QTB.fastq.gz,fastq/ENCFF103BRX.fastq.gz,LEF1,LEF1_INPUT
LEF1,2,fastq/ENCFF238ZLM.fastq.gz,fastq/ENCFF211HML.fastq.gz,LEF1,LEF1_INPUT
LEF1,3,fastq/ENCFF850KNY.fastq.gz,fastq/ENCFF037ZGC.fastq.gz,LEF1,LEF1_INPUT
LEF1,4,fastq/ENCFF087CSK.fastq.gz,fastq/ENCFF660QON.fastq.gz,LEF1,LEF1_INPUT
LEF1_INPUT,1,fastq/ENCFF002EFD.fastq.gz,fastq/ENCFF002EFA.fastq.gz,,
LEF1_INPUT,2,fastq/ENCFF002EFH.fastq.gz,fastq/ENCFF002EFF.fastq.gz,,
LEF1_INPUT,3,fastq/ENCFF410PHD.fastq.gz,fastq/ENCFF368UOC.fastq.gz,,
LEF1_INPUT,4,fastq/ENCFF240DTE.fastq.gz,fastq/ENCFF608MDV.fastq.gz,,
HDAC3-human,1,fastq/ENCFF942ZRE.fastq.gz,fastq/ENCFF908SKY.fastq.gz,HDAC3-human,HDAC3_input
HDAC3-human,2,fastq/ENCFF770NDG.fastq.gz,fastq/ENCFF369MSV.fastq.gz,HDAC3-human,HDAC3_input
HDAC3_input,1,fastq/ENCFF498JMO.fastq.gz,fastq/ENCFF502GTS.fastq.gz,,"        		"
HDAC3_input,2,fastq/ENCFF259GQA.fastq.gz,fastq/ENCFF837MIV.fastq.gz,,"      		"
WT_SIN3B_IP,1,fastq/ENCFF526SSV.fastq.gz,fastq/ENCFF953OIR.fastq.gz,SIN3B,SIN3B_input
WT_SIN3B_IP,2,fastq/ENCFF044ZTQ.fastq.gz,fastq/ENCFF119GEQ.fastq.gz,SIN3B,SIN3B_input
SIN3B_input,1,fastq/ENCFF498JMO.fastq.gz,fastq/ENCFF502GTS.fastq.gz,,
SIN3B_input,2,fastq/ENCFF259GQA.fastq.gz,fastq/ENCFF837MIV.fastq.gz,,
