File accession	Experiment accession	Biological replicate(s)	Paired with	md5sum	File download URL	Controlled by
ENCFF053NVZ	ENCSR638QHV	2		282dec872ca549a413f127ce2224af3e	https://www.encodeproject.org/files/ENCFF053NVZ/@@download/ENCFF053NVZ.bam	
ENCFF599VLE	ENCSR638QHV	1		12ecaf39b948a453f9bdbedc80c5443c	https://www.encodeproject.org/files/ENCFF599VLE/@@download/ENCFF599VLE.bam	
ENCFF270PKY	ENCSR638QHV	2	ENCFF029HOW	3f99a2053ac0de0d11a063250fe0515d	https://www.encodeproject.org/files/ENCFF270PKY/@@download/ENCFF270PKY.fastq.gz	/files/ENCFF002EFD/
ENCFF625HJX	ENCSR638QHV	1	ENCFF587AYW	34e7c845bf08f4aa68fb77d5a2098f2f	https://www.encodeproject.org/files/ENCFF625HJX/@@download/ENCFF625HJX.fastq.gz	/files/ENCFF002EFH/
ENCFF587AYW	ENCSR638QHV	1	ENCFF625HJX	3498c0ab8db07d2da692d83df313aa67	https://www.encodeproject.org/files/ENCFF587AYW/@@download/ENCFF587AYW.fastq.gz	/files/ENCFF002EFF/
ENCFF029HOW	ENCSR638QHV	2	ENCFF270PKY	14125f57e0673efe92f0d77e88cfbdb3	https://www.encodeproject.org/files/ENCFF029HOW/@@download/ENCFF029HOW.fastq.gz	/files/ENCFF002EFA/
ENCFF606YTH	ENCSR638QHV	2		f3676d69056250ecb5f912f4b89afb69	https://www.encodeproject.org/files/ENCFF606YTH/@@download/ENCFF606YTH.bam	
ENCFF105XTZ	ENCSR638QHV	1		fa44b66aca18378a29c61b2be22339c1	https://www.encodeproject.org/files/ENCFF105XTZ/@@download/ENCFF105XTZ.bam	
ENCFF132IPA	ENCSR638QHV	1		93818e1791a9a34b81dad31df882fc17	https://www.encodeproject.org/files/ENCFF132IPA/@@download/ENCFF132IPA.bigWig	
ENCFF575NPT	ENCSR638QHV	2		1f5e2810b20e72ca1e680cf32975c9d6	https://www.encodeproject.org/files/ENCFF575NPT/@@download/ENCFF575NPT.bigWig	
ENCFF991LDI	ENCSR638QHV	"1, 2"		981227234370e0dbd05ffbc3a8b3a4d7	https://www.encodeproject.org/files/ENCFF991LDI/@@download/ENCFF991LDI.bigWig	
ENCFF058QVY	ENCSR638QHV	1		b49b84613e81733e117365f09918faae	https://www.encodeproject.org/files/ENCFF058QVY/@@download/ENCFF058QVY.bigWig	
ENCFF393XSM	ENCSR638QHV	2		ea1ae3b4ca5e57ae56400ba646d0379a	https://www.encodeproject.org/files/ENCFF393XSM/@@download/ENCFF393XSM.bigWig	
ENCFF121DYK	ENCSR638QHV	"1, 2"		db7302bba9d2ec991de5dbd4d83ac28e	https://www.encodeproject.org/files/ENCFF121DYK/@@download/ENCFF121DYK.bigWig	
ENCFF625PVR	ENCSR638QHV	"1, 2"		b7b93a32812f7a3a31bb504b9892b82d	https://www.encodeproject.org/files/ENCFF625PVR/@@download/ENCFF625PVR.bed.gz	
ENCFF236DDU	ENCSR638QHV	2		3ad1ee6f9e325408564c814e56147bf6	https://www.encodeproject.org/files/ENCFF236DDU/@@download/ENCFF236DDU.bigBed	
ENCFF630ZHT	ENCSR638QHV	1		0e019aa21610b8f4faef864c35fc3852	https://www.encodeproject.org/files/ENCFF630ZHT/@@download/ENCFF630ZHT.bigBed	
ENCFF307JUJ	ENCSR638QHV	2		5c65bc9a01516d7a56cae72f2baf034a	https://www.encodeproject.org/files/ENCFF307JUJ/@@download/ENCFF307JUJ.bed.gz	
ENCFF734SUP	ENCSR638QHV	1		74392f29101d939774a874931fce12b7	https://www.encodeproject.org/files/ENCFF734SUP/@@download/ENCFF734SUP.bed.gz	
ENCFF897BXO	ENCSR638QHV	"1, 2"		958ab50d4c8dfefd790191179d51e442	https://www.encodeproject.org/files/ENCFF897BXO/@@download/ENCFF897BXO.bigBed	
ENCFF039TGK	ENCSR638QHV	1		cf8c7ba68c7dc27b414784650ef55470	https://www.encodeproject.org/files/ENCFF039TGK/@@download/ENCFF039TGK.bam	
ENCFF921IIJ	ENCSR638QHV	2		da0282026166a345c2388807bc53cbe7	https://www.encodeproject.org/files/ENCFF921IIJ/@@download/ENCFF921IIJ.bam	
ENCFF958WMW	ENCSR638QHV	2		9135d003f675408f1f632ee1ed976d5a	https://www.encodeproject.org/files/ENCFF958WMW/@@download/ENCFF958WMW.bam	
ENCFF339RWU	ENCSR638QHV	1		763be60c3e3afa5a031952d4c9e2f101	https://www.encodeproject.org/files/ENCFF339RWU/@@download/ENCFF339RWU.bam	
ENCFF721IUB	ENCSR638QHV	1		768cc92fb09dde6f87665fb5731ddbb9	https://www.encodeproject.org/files/ENCFF721IUB/@@download/ENCFF721IUB.bigWig	
ENCFF569HHT	ENCSR638QHV	2		8f0feb3ed83528c9c7b3d0b037070ee5	https://www.encodeproject.org/files/ENCFF569HHT/@@download/ENCFF569HHT.bigWig	
